ident,actual_ident,scheduled_departuretm,scheduled_arrivaltm,origin,destination,aircrafttype,meal_service,seats_cabin_first,seats_cabin_business,seats_cabin_coach
OMA5527,KLM1027,2020-05-06T16:50:00.000+0000,2020-05-06T18:15:00.000+0000,EHAM,EGLL,B732,Business: Meal / Economy: Meal,0,12,144
AAL6194,BAW294,2020-05-06T23:55:00.000+0000,2020-05-07T07:40:00.000+0000,KORD,EGLL,B789,First: Meal / Business: Meal / Economy: Meal,8,42,166
BAW294,,2020-05-06T23:55:00.000+0000,2020-05-07T07:40:00.000+0000,KORD,EGLL,B789,First: Meal / Business: Meal / Economy: Meal,8,42,166
EIN8994,BAW294,2020-05-06T23:55:00.000+0000,2020-05-07T07:40:00.000+0000,KORD,EGLL,B789,First: No meal / Business: No meal / Economy: No meal,8,42,166
FIN5534,BAW294,2020-05-06T23:55:00.000+0000,2020-05-07T07:40:00.000+0000,KORD,EGLL,B789,First: Meal / Business: Meal / Economy: Meal,8,42,166
BAW5970,EIN182,2020-05-06T18:00:00.000+0000,2020-05-06T19:25:00.000+0000,EIDW,EGLL,A320,Business: No meal / Economy: Food for sale,0,4,168
ELY8080,AAL38,2020-05-06T23:15:00.000+0000,2020-05-07T08:00:00.000+0000,KMIA,EGLL,B77W,"First: Breakfast, Dinner / Business: Breakfast, Dinner / Economy: Breakfast, Dinner",8,52,244
AAL6163,BAW212,2020-05-06T23:15:00.000+0000,2020-05-07T05:50:00.000+0000,KBOS,EGLL,B788,Business: Meal / Economy: Meal,0,35,179
FIN4028,AAL38,2020-05-06T23:15:00.000+0000,2020-05-07T08:00:00.000+0000,KMIA,EGLL,B77W,First: No meal / Business: No meal / Economy: No meal,8,52,244
IBE7400,BAW212,2020-05-06T23:15:00.000+0000,2020-05-07T05:50:00.000+0000,KBOS,EGLL,A388,First: No meal / Business: No meal / Economy: No meal,14,97,358
BAW212,,2020-05-06T23:15:00.000+0000,2020-05-07T05:50:00.000+0000,KBOS,EGLL,B788,Business: Meal / Economy: Meal,0,35,179
AAL38,,2020-05-06T23:15:00.000+0000,2020-05-07T08:00:00.000+0000,KMIA,EGLL,B77W,"First: Breakfast, Dinner / Business: Breakfast, Dinner / Economy: Breakfast, Dinner",8,52,244
FIN5412,BAW212,2020-05-06T23:15:00.000+0000,2020-05-07T05:50:00.000+0000,KBOS,EGLL,B788,Business: Meal / Economy: Meal,0,35,179
GFA6682,AAL38,2020-05-06T23:15:00.000+0000,2020-05-07T08:00:00.000+0000,KMIA,EGLL,B77W,First: No meal / Business: Dinner / Economy: Dinner,8,52,244
IBE4251,AAL38,2020-05-06T23:15:00.000+0000,2020-05-07T08:00:00.000+0000,KMIA,EGLL,B77W,First: No meal / Business: No meal / Economy: No meal,8,52,244
EIN8912,BAW212,2020-05-06T23:15:00.000+0000,2020-05-07T05:50:00.000+0000,KBOS,EGLL,B789,Business: No meal / Economy: No meal,0,50,166
BAW1529,AAL38,2020-05-06T23:15:00.000+0000,2020-05-07T08:00:00.000+0000,KMIA,EGLL,B77W,First: Meal / Business: Meal / Economy: Meal,8,52,244
KLM6069,DAL32,2020-05-06T23:40:00.000+0000,2020-05-07T08:05:00.000+0000,KATL,EGLL,B764,First: Dinner / Business: Dinner / Economy: Dinner,20,34,184
AFR3553,DAL32,2020-05-06T23:40:00.000+0000,2020-05-07T08:05:00.000+0000,KATL,EGLL,B764,First: Dinner / Business: Dinner / Economy: Dinner,20,34,184
KLM6101,DAL1,2020-05-06T23:45:00.000+0000,2020-05-07T07:05:00.000+0000,KJFK,EGLL,B764,First: Dinner / Business: Dinner / Economy: Dinner,20,34,184
AUA7796,UAL14,2020-05-06T23:50:00.000+0000,2020-05-07T06:40:00.000+0000,KEWR,EGLL,B78X,Business: No meal / Economy: No meal,0,44,274
SWR3047,UAL14,2020-05-06T23:50:00.000+0000,2020-05-07T06:40:00.000+0000,KEWR,EGLL,B78X,Business: No meal / Economy: No meal,0,44,274
DLH7626,UAL14,2020-05-06T23:50:00.000+0000,2020-05-07T06:40:00.000+0000,KEWR,EGLL,B78X,Business: Dinner / Economy: Dinner,0,44,274
ACA5878,UAL14,2020-05-06T23:50:00.000+0000,2020-05-07T06:40:00.000+0000,KEWR,EGLL,B78X,Business: Dinner / Economy: Dinner,0,44,274
UAL14,,2020-05-06T23:50:00.000+0000,2020-05-07T06:40:00.000+0000,KEWR,EGLL,B78X,Business: Dinner / Economy: Dinner,0,44,274
BAW3480,,2020-05-06T18:00:00.000+0000,2020-05-06T20:00:00.000+0000,LIMC,EGLL,A306,,0,0,0
BAW5960,EIN184,2020-05-06T19:15:00.000+0000,2020-05-06T20:30:00.000+0000,EIDW,EGLL,A320,Economy: Food for sale,0,0,180
BAW5924,EIN724,2020-05-06T19:15:00.000+0000,2020-05-06T20:35:00.000+0000,EICK,EGLL,A320,Economy: Food for sale,0,0,180
BAW5948,EIN186,2020-05-06T20:10:00.000+0000,2020-05-06T21:25:00.000+0000,EIDW,EGLL,A320,Economy: Food for sale,0,0,180
BAW28,,2020-05-06T15:45:00.000+0000,2020-05-07T04:30:00.000+0000,VHHH,EGLL,,First: Meal / Business: Meal / Economy: Meal,14,56,227
VIR207,,2020-05-06T15:55:00.000+0000,2020-05-07T04:30:00.000+0000,VHHH,EGLL,B789,Business: Dinner / Economy: Dinner,0,31,227
CPA251,,2020-05-06T15:55:00.000+0000,2020-05-07T04:40:00.000+0000,VHHH,EGLL,A35K,"Business: Breakfast, Dinner / Economy: Breakfast, Dinner",0,46,288
GFA7,,2020-05-06T22:40:00.000+0000,2020-05-07T05:55:00.000+0000,OBBI,EGLL,B789,Business: Breakfast / Economy: Breakfast,0,26,256
OMA103,,2020-05-06T21:50:00.000+0000,2020-05-07T05:30:00.000+0000,OOMS,EGLL,B789,"Business: Breakfast, Dinner / Economy: Breakfast, Dinner",0,30,258
GIA9056,ETD11,2020-05-06T22:05:00.000+0000,2020-05-07T05:45:00.000+0000,OMAA,EGLL,B789,Business: Meal / Economy: Meal,0,999,999
AMC2134,ETD11,2020-05-06T22:05:00.000+0000,2020-05-07T05:45:00.000+0000,OMAA,EGLL,B78X,Business: No meal / Economy: No meal,0,28,199
KNE3011,ETD11,2020-05-06T22:05:00.000+0000,2020-05-07T05:45:00.000+0000,OMAA,EGLL,A388,"First: Food for sale / Business: Food for sale, Meal / Economy: Food for sale, Meal",11,70,405
AIC161,,2020-05-06T21:15:00.000+0000,2020-05-07T06:30:00.000+0000,VIDP,EGLL,B788,Business: Meal / Economy: Meal,0,18,238
TAP7023,AIC161,2020-05-06T21:15:00.000+0000,2020-05-07T06:30:00.000+0000,VIDP,EGLL,B788,Business: Meal / Economy: Meal,0,18,238
ACA6401,AIC161,2020-05-06T21:15:00.000+0000,2020-05-07T06:30:00.000+0000,VIDP,EGLL,B788,Business: Meal / Economy: Meal,0,18,238
ACA6023,ETH700,2020-05-06T23:50:00.000+0000,2020-05-07T08:05:00.000+0000,HAAB,EGLL,A359,Business: No meal / Economy: No meal,0,30,313
ACA6023,EMT700,2020-05-06T23:50:00.000+0000,2020-05-07T08:05:00.000+0000,HAAB,EGLL,A359,Business: No meal / Economy: No meal,0,30,313
ACA6023,EMT700,2020-05-06T23:50:00.000+0000,2020-05-07T08:05:00.000+0000,HAAB,EGLL,A359,Business: No meal / Economy: No meal,0,30,313
ETH700,,2020-05-06T23:50:00.000+0000,2020-05-07T08:05:00.000+0000,HAAB,EGLL,A359,"Business: Dinner / Economy: Breakfast, Dinner",0,30,313
UAL7210,ETH700,2020-05-06T23:50:00.000+0000,2020-05-07T08:05:00.000+0000,HAAB,EGLL,A359,Business: No meal / Economy: No meal,0,30,313
ANA5354,ETH700,2020-05-06T23:50:00.000+0000,2020-05-07T08:05:00.000+0000,HAAB,EGLL,A359,Business: No meal / Economy: No meal,0,30,313
TAP8984,ETH700,2020-05-06T23:50:00.000+0000,2020-05-07T08:05:00.000+0000,HAAB,EGLL,A359,Business: No meal / Economy: No meal,0,30,313
ANA5354,EMT700,2020-05-06T23:50:00.000+0000,2020-05-07T08:05:00.000+0000,HAAB,EGLL,A359,Business: No meal / Economy: No meal,0,30,313
UAL7210,EMT700,2020-05-06T23:50:00.000+0000,2020-05-07T08:05:00.000+0000,HAAB,EGLL,A359,Business: No meal / Economy: No meal,0,30,313
ANA5354,ETH700,2020-05-06T23:50:00.000+0000,2020-05-07T08:05:00.000+0000,HAAB,EGLL,A359,Business: No meal / Economy: No meal,0,30,313
ACA6023,ETH700,2020-05-06T23:50:00.000+0000,2020-05-07T08:05:00.000+0000,HAAB,EGLL,A359,Business: No meal / Economy: No meal,0,30,313
UAL7210,ETH700,2020-05-06T23:50:00.000+0000,2020-05-07T08:05:00.000+0000,HAAB,EGLL,A359,Business: No meal / Economy: No meal,0,30,313
ANA5354,EMT700,2020-05-06T23:50:00.000+0000,2020-05-07T08:05:00.000+0000,HAAB,EGLL,A359,Business: No meal / Economy: No meal,0,30,313
EMT700,,2020-05-06T23:50:00.000+0000,2020-05-07T08:05:00.000+0000,HAAB,EGLL,A359,"Business: Dinner / Economy: Breakfast, Dinner",0,30,313
TAP8984,ETH700,2020-05-06T23:50:00.000+0000,2020-05-07T08:05:00.000+0000,HAAB,EGLL,A359,Business: No meal / Economy: No meal,0,30,313
TAP8984,EMT700,2020-05-06T23:50:00.000+0000,2020-05-07T08:05:00.000+0000,HAAB,EGLL,A359,Business: No meal / Economy: No meal,0,30,313
TAP8984,EMT700,2020-05-06T23:50:00.000+0000,2020-05-07T08:05:00.000+0000,HAAB,EGLL,A359,Business: No meal / Economy: No meal,0,30,313
UAL7210,EMT700,2020-05-06T23:50:00.000+0000,2020-05-07T08:05:00.000+0000,HAAB,EGLL,A359,Business: No meal / Economy: No meal,0,30,313
HVN55,,2020-05-06T21:30:00.000+0000,2020-05-07T10:20:00.000+0000,VVNB,EGLL,,Business: No meal / Economy: No meal,0,28,283
