ident,actual_ident,scheduled_departuretm,scheduled_arrivaltm,origin,destination,aircrafttype,meal_service,seats_cabin_first,seats_cabin_business,seats_cabin_coach
UAL7630,EIN158,2020-05-06T08:40:00.000+0000,2020-05-06T10:10:00.000+0000,EIDW,EGLL,A320,Business: No meal / Economy: No meal,0,4,168
BAW5958,EIN158,2020-05-06T08:40:00.000+0000,2020-05-06T10:10:00.000+0000,EIDW,EGLL,A320,Economy: Food for sale,0,0,180
ACA6906,EIN158,2020-05-06T08:40:00.000+0000,2020-05-06T10:10:00.000+0000,EIDW,EGLL,A320,Business: No meal / Economy: Meal,0,4,168
GFA3,,2020-05-06T07:05:00.000+0000,2020-05-06T14:20:00.000+0000,OBBI,EGLL,B789,Business: Lunch / Economy: Lunch,0,26,256
REU8580,AFR1580,2020-05-06T08:10:00.000+0000,2020-05-06T09:40:00.000+0000,LFPG,EGLL,A319,Business: No meal / Economy: No meal,0,72,71
KQA3076,AFR1580,2020-05-06T08:10:00.000+0000,2020-05-06T09:40:00.000+0000,LFPG,EGLL,A319,Business: No meal / Economy: No meal,0,72,71
ATW833,ATW1009,2020-05-06T08:15:00.000+0000,2020-05-06T09:45:00.000+0000,EHAM,EGLL,B739,Business: No meal / Economy: No meal,0,56,132
QTR8293,,2020-05-06T07:25:00.000+0000,2020-05-06T15:00:00.000+0000,OTHH,EGLL,A332,,0,0,0
KNE3025,ETD25,2020-05-06T06:35:00.000+0000,2020-05-06T14:10:00.000+0000,OMAA,EGLL,A388,"First: Food for sale / Business: Food for sale, Meal / Economy: Food for sale, Meal",11,70,405
ACA6924,EIN162,2020-05-06T10:10:00.000+0000,2020-05-06T11:40:00.000+0000,EIDW,EGLL,A320,Business: No meal / Economy: Meal,0,4,168
UAL7650,EIN162,2020-05-06T10:10:00.000+0000,2020-05-06T11:40:00.000+0000,EIDW,EGLL,A320,Business: No meal / Economy: No meal,0,4,168
BAW5962,EIN162,2020-05-06T10:10:00.000+0000,2020-05-06T11:40:00.000+0000,EIDW,EGLL,A320,Business: No meal / Economy: Food for sale,0,4,168
DLH5354,EWG9466,2020-05-06T09:10:00.000+0000,2020-05-06T10:45:00.000+0000,EDDL,EGLL,A319,Business: No meal / Economy: No meal,0,12,132
EWG9466,,2020-05-06T09:10:00.000+0000,2020-05-06T10:45:00.000+0000,EDDL,EGLL,A319,Business: No meal / Economy: No meal,0,12,132
BAW4603,JTL43,2020-05-06T02:20:00.000+0000,2020-05-06T14:50:00.000+0000,RJTT,EGLL,B789,Business: Meal / Economy: Meal,0,44,151
BAW4603,JAL43,2020-05-06T02:20:00.000+0000,2020-05-06T14:50:00.000+0000,RJTT,EGLL,B789,Business: Meal / Economy: Meal,0,44,151
JTL43,,2020-05-06T02:20:00.000+0000,2020-05-06T14:50:00.000+0000,RJTT,EGLL,B789,Business: Meal / Economy: Meal,0,44,151
BAW4603,JAL43,2020-05-06T02:20:00.000+0000,2020-05-06T14:50:00.000+0000,RJTT,EGLL,B789,Business: Meal / Economy: Meal,0,44,151
BAW4603,JTL43,2020-05-06T02:20:00.000+0000,2020-05-06T14:50:00.000+0000,RJTT,EGLL,B789,Business: Meal / Economy: Meal,0,44,151
JAL43,,2020-05-06T02:20:00.000+0000,2020-05-06T14:50:00.000+0000,RJTT,EGLL,B789,Business: Meal / Economy: Meal,0,44,151
BAW5928,EIN712,2020-05-06T10:35:00.000+0000,2020-05-06T12:05:00.000+0000,EICK,EGLL,A320,Economy: Food for sale,0,0,180
ACA6914,EIN712,2020-05-06T10:35:00.000+0000,2020-05-06T12:05:00.000+0000,EICK,EGLL,A320,Business: No meal / Economy: Meal,0,4,168
UAL7642,EIN712,2020-05-06T10:35:00.000+0000,2020-05-06T12:05:00.000+0000,EICK,EGLL,A320,Business: No meal / Economy: No meal,0,4,168
IBE7480,BAW479,2020-05-06T09:40:00.000+0000,2020-05-06T12:05:00.000+0000,LEBL,EGLL,,Business: No meal / Economy: No meal,0,24,136
IBE7726,BAW1443,2020-05-06T10:40:00.000+0000,2020-05-06T12:15:00.000+0000,EGPH,EGLL,,Business: No meal / Economy: No meal,0,24,136
BAW479,,2020-05-06T09:40:00.000+0000,2020-05-06T12:05:00.000+0000,LEBL,EGLL,,"Business: Meal / Economy: Food for sale, Meal",0,24,136
BAW431,,2020-05-06T09:40:00.000+0000,2020-05-06T11:00:00.000+0000,EHAM,EGLL,,"Business: Meal / Economy: Food for sale, Meal",0,24,136
AAL6443,BAW431,2020-05-06T09:40:00.000+0000,2020-05-06T11:00:00.000+0000,EHAM,EGLL,,"Business: Meal / Economy: Food for sale, Meal",0,24,136
AAL6291,BAW479,2020-05-06T09:40:00.000+0000,2020-05-06T12:05:00.000+0000,LEBL,EGLL,,"Business: Meal / Economy: Food for sale, Meal",0,24,136
BAW1443,,2020-05-06T10:40:00.000+0000,2020-05-06T12:15:00.000+0000,EGPH,EGLL,,"Business: Meal / Economy: Food for sale, Meal",0,24,136
QTR6284,BAW1443,2020-05-06T10:40:00.000+0000,2020-05-06T12:15:00.000+0000,EGPH,EGLL,,Business: No meal / Economy: No meal,0,24,136
FIN5968,BAW1443,2020-05-06T10:40:00.000+0000,2020-05-06T12:15:00.000+0000,EGPH,EGLL,,"Business: Food for sale, Meal / Economy: Food for sale",0,24,136
JAL6512,BAW479,2020-05-06T09:40:00.000+0000,2020-05-06T12:05:00.000+0000,LEBL,EGLL,,Business: No meal / Economy: No meal,0,24,136
JTL6512,BAW479,2020-05-06T09:40:00.000+0000,2020-05-06T12:05:00.000+0000,LEBL,EGLL,,Business: No meal / Economy: No meal,0,24,136
PIA785,,2020-05-06T06:50:00.000+0000,2020-05-06T14:55:00.000+0000,OPIS,EGLL,,First: No meal / Economy: No meal,35,0,275
UAL7654,EIN164,2020-05-06T11:00:00.000+0000,2020-05-06T12:30:00.000+0000,EIDW,EGLL,A320,Economy: No meal,0,0,174
BAW5964,EIN164,2020-05-06T11:00:00.000+0000,2020-05-06T12:30:00.000+0000,EIDW,EGLL,A320,Economy: Food for sale,0,0,180
BAW309,,2020-05-06T10:10:00.000+0000,2020-05-06T11:30:00.000+0000,LFPG,EGLL,,"Business: Meal / Economy: Food for sale, Meal",0,24,136
