admission_date|company_name|icb_industry|icb_supersector|country_of_incorp|world_region|market|international_issuer|market_cap
2015-05-12|AEW UK REIT PLC|Real Estate|Real Estate|United Kingdom|Europe|MAIN MARKET|No|108.28
2010-07-26|AFARAK GROUP PLC|Basic Materials|Basic Resources|Finland|Europe|MAIN MARKET|Yes|63.01
2007-04-24|AFC ENERGY PLC|Energy|Energy|United Kingdom|Europe|AIM|No|71.60
2014-06-30|AFH FINANCIAL GROUP PLC|Financials|Financial Services|United Kingdom|Europe|AIM|No|111.65
2007-07-24|AFRICA OPPORTUNITY FUND LIMITED|Financials|Financial Services|Cayman Islands|North America|MAIN MARKET|Yes|18.69
2017-11-09|AFRITIN MINING LIMITED|Basic Materials|Basic Resources|Guernsey|Europe|AIM|No|12.74
1997-09-29|AGGREKO PLC|Industrials|Industrial Goods and Services|United Kingdom|Europe|MAIN MARKET|No|1248.37
2009-02-05|AGRITERRA LD|Consumer Staples|Food, Beverage and Tobacco|Guernsey|Europe|AIM|No|1.16
2011-09-15|AGRONOMICS LIMITED|Health Care|Health Care|Isle of Man|Europe|AIM|No|17.41
2017-12-11|AIB GROUP PLC|Financials|Banks|Ireland|Europe|MAIN MARKET|Yes|2411.60
2018-01-09|AIQ LIMITED|Financials|Financial Services|Cayman Islands|North America|MAIN MARKET|Yes|26.55
2004-12-15|AIR CHINA LD|Consumer Discretionary|Travel and Leisure|China|Asia|MAIN MARKET|Yes|3316.96
1995-11-23|AIR PARTNER PLC|Consumer Discretionary|Travel and Leisure|United Kingdom|Europe|MAIN MARKET|No|24.62
2005-12-21|AIREA PLC|Consumer Discretionary|Consumer Products and Services|United Kingdom|Europe|AIM|No|9.51
2019-06-28|AIRTEL AFRICA PLC|Telecommunications|Telecommunications|United Kingdom|Europe|MAIN MARKET|No|1545.35
2018-12-07|AJ BELL PLC|Financials|Financial Services|United Kingdom|Europe|MAIN MARKET|No|1272.45
2005-04-04|ALBA MINERAL RESOURCES PLC|Basic Materials|Basic Resources|United Kingdom|Europe|AIM|No|2.09
1999-01-27|ALBION DEVELOPMENT VCT PLC|Financials|Financial Services|United Kingdom|Europe|MAIN MARKET|No|73.55
2007-04-05|ALBION ENTERPRISE VCT PLC|Financials|Financial Services|United Kingdom|Europe|MAIN MARKET|No|74.91
2001-01-17|ALBION TECHNOLOGY & GENERAL VCT PLC|Financials|Financial Services|United Kingdom|Europe|MAIN MARKET|No|88.03
1996-04-04|ALBION VENTURE CAPITAL TST PLC|Financials|Financial Services|United Kingdom|Europe|MAIN MARKET|No|72.26
2012-03-06|ALCENTRA EUROPEAN FLOATING RATE INCOME FUND LIMITED|Financials|Financial Services|Guernsey|Europe|MAIN MARKET|No|79.59
2018-10-18|ALEXANDRIA MINERAL OILS COMPANY (AMOC) S.A.E.|Energy|Energy|Egypt|Middle East|ADMISSION TO TRADING ONLY|Yes|0.00
2017-05-26|ALFA FINANCIAL SOFTWARE HOLDINGS PLC|Technology|Technology|United Kingdom|Europe|MAIN MARKET|No|231.30
2006-05-25|ALIEN METALS LIMITED|Basic Materials|Basic Resources|British Virgin Islands|North America|AIM|Yes|1.59
2013-05-02|ALL ACTIVE ASSET CAPITAL LIMITED|Financials|Financial Services|United Kingdom|Europe|AIM|No|3.65
2004-10-11|ALLERGY THERAPEUTICS PLC|Health Care|Health Care|United Kingdom|Europe|AIM|No|49.30
2015-12-17|ALLIANCE PHARMA PLC|Health Care|Health Care|United Kingdom|Europe|AIM|No|344.47
1947-07-17|ALLIANCE TRUST PLC|Financials|Financial Services|United Kingdom|Europe|MAIN MARKET|No|2112.60
1995-12-04|ALLIANZ TECHNOLOGY TRUST PLC|Financials|Financial Services|United Kingdom|Europe|MAIN MARKET|No|606.14
2014-06-25|ALLIED MINDS PLC|Financials|Financial Services|United Kingdom|Europe|MAIN MARKET|No|63.41
2017-10-11|ALPHA FINANCIAL MARKETS CONSULTING PLC|Industrials|Industrial Goods and Services|United Kingdom|Europe|AIM|No|119.61
2017-04-07|ALPHA FX GROUP PLC|Financials|Financial Services|United Kingdom|Europe|AIM|No|204.18
2017-12-20|ALPHA GROWTH PLC|Financials|Financial Services|United Kingdom|Europe|MAIN MARKET|No|2.82
2006-12-21|ALPHA REAL TRUST LIMITED|Real Estate|Real Estate|Guernsey|Europe|MAIN MARKET|No|83.00
2017-06-06|ALTERNATIVE INCOME REIT PLC|Real Estate|Real Estate|United Kingdom|Europe|MAIN MARKET|No|38.88
2015-09-17|ALTERNATIVE LIQUIDITY FUND LIMITED|Financials|Financial Services|Guernsey|Europe|MAIN MARKET|No|7.69
2005-11-07|ALTITUDE GROUP PLC|Technology|Technology|United Kingdom|Europe|AIM|No|19.06
2017-08-10|ALTUS STRATEGIES PLC|Basic Materials|Basic Resources|United Kingdom|Europe|AIM|No|16.12
2014-12-19|ALTYN PLC|Basic Materials|Basic Resources|United Kingdom|Europe|MAIN MARKET|No|17.60
1986-05-30|ALUMASC GROUP PLC|Industrials|Construction and Materials|United Kingdom|Europe|AIM|No|23.85
2010-11-30|ALUMINIUM BAHRAIN B.S.C.|Basic Materials|Basic Resources|Bahrain|Middle East|MAIN MARKET|Yes|0.00
2001-02-22|AMATI AIM VCT PLC|Financials|Financial Services|United Kingdom|Europe|MAIN MARKET|No|113.45
2015-05-13|AMEDEO AIR FOUR PLUS LIMITED|Industrials|Industrial Goods and Services|Guernsey|Europe|MAIN MARKET|No|250.48
2017-10-06|AMER GROUP HOLDING COMPANY S.A.E|Real Estate|Real Estate|Egypt|Middle East|ADMISSION TO TRADING ONLY|Yes|0.00
2005-12-05|AMIAD WATER SYSTEMS LTD|Utilities|Utilities|Israel|Middle East|AIM|Yes|46.53
2018-06-29|AMIGO HOLDINGS PLC|Financials|Financial Services|United Kingdom|Europe|MAIN MARKET|No|72.73
1995-07-06|AMINEX PLC|Energy|Energy|Ireland|Europe|MAIN MARKET|Yes|16.97
2004-06-09|AMINO TECHNOLOGIES PLC|Telecommunications|Telecommunications|United Kingdom|Europe|AIM|No|87.81
2016-04-19|AMRYT PHARMA PLC|Health Care|Health Care|United Kingdom|Europe|AIM|No|163.77
2006-03-15|AMUR MINERALS CORPORATION|Basic Materials|Basic Resources|British Virgin Islands|North America|AIM|Yes|7.78
1991-10-10|ANA HOLDINGS INC.|Consumer Discretionary|Travel and Leisure|Japan|Asia|ADMISSION TO TRADING ONLY|Yes|0.00
2001-12-24|ANDREWS SYKES GROUP PLC|Industrials|Industrial Goods and Services|United Kingdom|Europe|AIM|No|204.55
2018-06-20|ANEXO GROUP PLC|Industrials|Industrial Goods and Services|United Kingdom|Europe|AIM|No|120.45
2004-03-17|ANGLE PLC|Health Care|Health Care|United Kingdom|Europe|AIM|No|88.13
1988-06-06|ANGLESEY MINING PLC|Basic Materials|Basic Resources|United Kingdom|Europe|MAIN MARKET|No|1.87
2017-07-13|ANGLING DIRECT PLC|Consumer Discretionary|Retail|United Kingdom|Europe|AIM|No|19.71
2015-07-22|ANGLO AFRICAN AGRICULTURE PLC|Financials|Financial Services|United Kingdom|Europe|MAIN MARKET|No|0.80
2017-03-06|ANGLO AFRICAN OIL & GAS PLC|Basic Materials|Basic Resources|United Kingdom|Europe|AIM|No|0.92
1999-05-24|ANGLO AMERICAN PLC|Basic Materials|Basic Resources|United Kingdom|Europe|MAIN MARKET|No|19312.09
2005-07-29|ANGLO ASIAN MINING PLC|Basic Materials|Basic Resources|United Kingdom|Europe|AIM|No|106.38
1996-12-30|ANGLO PACIFIC GROUP PLC|Basic Materials|Basic Resources|United Kingdom|Europe|MAIN MARKET|No|205.06
