admission_date|company_name|icb_industry|icb_supersector|country_of_incorp|world_region|market|international_issuer|market_cap
2000-05-30|CONROY GOLD & NATURAL RESOURCES PLC|Basic Materials|Basic Resources|Ireland|Europe|AIM|Yes|1.97
2017-11-01|CONTANGO HOLDINGS PLC|Financials|Financial Services|United Kingdom|Europe|MAIN MARKET|No|1.61
2017-11-09|CONTOURGLOBAL PLC|Utilities|Utilities|United Kingdom|Europe|MAIN MARKET|No|971.19
2016-10-26|CONVATEC GROUP PLC|Health Care|Health Care|United Kingdom|Europe|MAIN MARKET|No|3699.25
2009-08-27|CONYGAR INVESTMENT COMPANY PLC (THE)|Real Estate|Real Estate|United Kingdom|Europe|AIM|No|58.15
2017-10-09|CORA GOLD LIMITED|Basic Materials|Basic Resources|British Virgin Islands|North America|AIM|Yes|5.89
2011-09-06|CORAL PRODUCTS PLC|Industrials|Industrial Goods and Services|United Kingdom|Europe|AIM|No|4.17
2000-10-09|CORERO NETWORK SECURITY PLC|Technology|Technology|United Kingdom|Europe|AIM|No|17.81
2017-02-24|CORO ENERGY PLC|Energy|Energy|United Kingdom|Europe|AIM|No|5.35
1979-01-03|COSTAIN GROUP PLC|Industrials|Construction and Materials|United Kingdom|Europe|MAIN MARKET|No|38.01
2016-02-12|COUNTRYSIDE PROPERTIES PLC|Consumer Discretionary|Consumer Products and Services|United Kingdom|Europe|MAIN MARKET|No|1282.50
2013-03-25|COUNTRYWIDE PLC|Real Estate|Real Estate|United Kingdom|Europe|MAIN MARKET|No|15.73
1999-06-29|CPL RESOURCES PLC|Industrials|Industrial Goods and Services|Ireland|Europe|AIM|Yes|164.66
2015-02-11|CPPGROUP PLC|Industrials|Industrial Goods and Services|United Kingdom|Europe|AIM|No|20.67
1994-11-04|CQS NATURAL RESOURCES GROWTH AND INCOME PLC|Financials|Financial Services|United Kingdom|Europe|MAIN MARKET|No|36.05
2007-03-07|CQS NEW CITY HIGH YIELD FUND LIMITED|Financials|Financial Services|Jersey|Europe|MAIN MARKET|No|177.16
2007-09-13|CRANEWARE PLC|Health Care|Health Care|United Kingdom|Europe|AIM|No|513.73
1993-07-13|CRANSWICK PLC|Consumer Staples|Food, Beverage and Tobacco|United Kingdom|Europe|MAIN MARKET|No|1930.52
2004-08-04|CRAVEN HOUSE CAPITAL PLC|Financials|Financial Services|United Kingdom|Europe|AIM|No|10.59
1994-08-30|CREIGHTONS PLC|Consumer Staples|Personal Care, Drug and Grocery Stores|United Kingdom|Europe|MAIN MARKET|No|28.49
2016-12-09|CREO MEDICAL GROUP PLC|Health Care|Health Care|United Kingdom|Europe|AIM|No|183.51
2013-02-18|CREST NICHOLSON HOLDINGS PLC|Consumer Discretionary|Consumer Products and Services|United Kingdom|Europe|MAIN MARKET|No|450.90
1973-02-02|CRH PLC|Industrials|Construction and Materials|Ireland|Europe|MAIN MARKET|Yes|17250.13
2006-08-22|CRIMSON TIDE PLC|Technology|Technology|United Kingdom|Europe|AIM|No|7.55
1964-06-10|CRODA INTERNATIONAL PLC|Basic Materials|Chemicals|United Kingdom|Europe|MAIN MARKET|No|5496.23
2004-04-16|CROMA SECURITY SOLUTIONS GROUP PLC|Industrials|Industrial Goods and Services|United Kingdom|Europe|AIM|No|8.87
2007-08-31|CROPPER (JAMES) PLC|Basic Materials|Basic Resources|United Kingdom|Europe|AIM|No|69.75
2018-12-14|CROSSWORD CYBERSECURITY PLC|Technology|Technology|United Kingdom|Europe|AIM|No|16.20
1998-04-08|CROWN PLACE VCT PLC|Financials|Financial Services|United Kingdom|Europe|MAIN MARKET|No|57.86
2008-06-17|CRYSTAL AMBER FUND LIMITED|Financials|Financial Services|Guernsey|Europe|AIM|No|57.04
2015-05-07|CURTIS BANKS GROUP PLC|Financials|Financial Services|United Kingdom|Europe|AIM|No|117.49
2017-10-04|CURZON ENERGY PLC|Energy|Energy|United Kingdom|Europe|MAIN MARKET|No|0.62
2014-03-26|CUSTODIAN REIT PLC|Real Estate|Real Estate|United Kingdom|Europe|MAIN MARKET|No|415.85
2013-06-25|CVC CREDIT PARTNERS EUROPEAN OPPORTUNITIES LIMITED|Financials|Financial Services|Jersey|Europe|MAIN MARKET|No|268.76
2007-10-10|CVS GROUP PLC|Consumer Discretionary|Consumer Products and Services|United Kingdom|Europe|AIM|No|582.90
2005-12-07|CYANCONNODE HOLDINGS PLC|Telecommunications|Telecommunications|United Kingdom|Europe|AIM|No|3.29
2008-06-16|D4T4 SOLUTIONS PLC|Technology|Technology|United Kingdom|Europe|AIM|No|56.37
1959-07-15|DAEJAN HOLDINGS PLC|Real Estate|Real Estate|United Kingdom|Europe|MAIN MARKET|No|1274.30
1932-11-11|DAILY MAIL & GENERAL TRUST PLC|Consumer Discretionary|Media|United Kingdom|Europe|MAIN MARKET|No|1435.25
1990-05-14|DAIRY FARM INTERNATIONAL HOLDINGS LD|Consumer Staples|Personal Care, Drug and Grocery Stores|Bermuda|North America|MAIN MARKET|Yes|20007.72
2016-06-30|DALATA HOTEL GROUP PLC|Consumer Discretionary|Travel and Leisure|Ireland|Europe|MAIN MARKET|Yes|406.45
2018-07-24|DANAKALI LIMITED|Basic Materials|Basic Resources|Australia|Pacific|MAIN MARKET|Yes|62.15
2005-08-15|DART GROUP PLC|Consumer Discretionary|Travel and Leisure|United Kingdom|Europe|AIM|No|820.45
1997-03-21|DATANG INTERNATIONAL POWER GENERATION COMPANY LD|Utilities|Utilities|China|Asia|MAIN MARKET|Yes|1569.04
2016-01-29|DAVICTUS PLC|Financials|Financial Services|Jersey|Europe|MAIN MARKET|No|1.40
1994-05-19|DCC PLC|Industrials|Industrial Goods and Services|Ireland|Europe|MAIN MARKET|Yes|5018.47
2006-02-23|DCD MEDIA PLC|Consumer Discretionary|Media|United Kingdom|Europe|AIM|No|5.72
1947-03-27|DE LA RUE PLC|Industrials|Industrial Goods and Services|United Kingdom|Europe|MAIN MARKET|No|59.28
2000-09-21|DECHRA PHARMACEUTICALS PLC|Health Care|Health Care|United Kingdom|Europe|MAIN MARKET|No|2419.44
2007-12-31|DEEPMATTER GROUP PLC|Technology|Technology|United Kingdom|Europe|AIM|No|11.42
2013-03-18|DEKEL AGRI-VISION PLC|Consumer Staples|Food, Beverage and Tobacco|Cyprus|Europe|AIM|Yes|10.60
2001-11-08|DELTEX MEDICAL GROUP PLC|Health Care|Health Care|United Kingdom|Europe|AIM|No|6.56
1984-08-13|DERWENT LONDON PLC|Real Estate|Real Estate|United Kingdom|Europe|MAIN MARKET|No|3655.09
2017-09-04|DESTINY PHARMA PLC|Health Care|Health Care|United Kingdom|Europe|AIM|No|14.26
2019-01-21|DEV CLEVER HOLDINGS PLC|Technology|Technology|United Kingdom|Europe|MAIN MARKET|No|15.69
1993-06-30|DEVRO PLC|Consumer Staples|Food, Beverage and Tobacco|United Kingdom|Europe|MAIN MARKET|No|265.78
2006-02-22|DEWHURST PLC|Technology|Technology|United Kingdom|Europe|AIM|No|60.44
2015-03-11|DFS FURNITURE PLC|Consumer Discretionary|Retail|United Kingdom|Europe|MAIN MARKET|No|248.91
2019-03-21|DIACEUTICS PLC|Health Care|Health Care|United Kingdom|Europe|AIM|No|88.37
1952-04-01|DIAGEO PLC|Consumer Staples|Food, Beverage and Tobacco|United Kingdom|Europe|MAIN MARKET|No|60447.35
1993-11-09|DIALIGHT PLC|Industrials|Industrial Goods and Services|United Kingdom|Europe|MAIN MARKET|No|73.21
2007-12-11|DIAMOND BANK PLC|Financials|Banks|Nigeria|Africa|PROFESSIONAL SECURITIES MARKET|Yes|0.00
2017-11-15|DIGITAL LANDSCAPE GROUP, INC.|Financials|Financial Services|British Virgin Islands|North America|MAIN MARKET|Yes|411.11
2003-04-30|DIGITALBOX PLC|Consumer Discretionary|Media|United Kingdom|Europe|AIM|No|5.05
2004-04-08|DIGNITY PLC|Consumer Discretionary|Consumer Products and Services|United Kingdom|Europe|MAIN MARKET|No|138.43
2006-06-15|DILLISTONE GROUP PLC|Technology|Technology|United Kingdom|Europe|AIM|No|3.74
1960-06-12|DIPLOMA PLC|Industrials|Industrial Goods and Services|United Kingdom|Europe|MAIN MARKET|No|1827.69
2012-10-16|DIRECT LINE INSURANCE GROUP PLC|Financials|Insurance|United Kingdom|Europe|MAIN MARKET|No|4037.71
2016-05-27|DIRECTA PLUS PLC|Basic Materials|Chemicals|United Kingdom|Europe|AIM|No|35.07
1994-03-28|DISCOVERIE GROUP PLC|Technology|Technology|United Kingdom|Europe|MAIN MARKET|No|435.55
2018-04-13|DISH TV INDIA LIMITED|Consumer Discretionary|Media|India|Asia|PROFESSIONAL SECURITIES MARKET|Yes|0.00
2004-01-20|DISTIL PLC|Consumer Staples|Food, Beverage and Tobacco|United Kingdom|Europe|AIM|No|4.02
2019-05-09|DISTRIBUTION FINANCE CAPITAL HOLDINGS PLC|Financials|Financial Services|United Kingdom|Europe|AIM|No|50.65
2015-12-24|DIURNAL GROUP PLC|Health Care|Health Care|United Kingdom|Europe|AIM|No|37.09
2011-04-28|DIVERSE INCOME TRUST (THE) PLC|Financials|Financial Services|United Kingdom|Europe|MAIN MARKET|No|261.02
2017-02-03|DIVERSIFIED GAS & OIL PLC|Energy|Energy|United Kingdom|Europe|AIM|No|565.67
2013-06-26|DIXONS CARPHONE PLC|Consumer Discretionary|Retail|United Kingdom|Europe|MAIN MARKET|No|905.89
2003-03-31|DODS GROUP PLC|Consumer Discretionary|Media|United Kingdom|Europe|AIM|No|15.84
2005-12-08|DOLPHIN CAPITAL INVESTORS LIMITED|Real Estate|Real Estate|British Virgin Islands|North America|AIM|Yes|20.81
2008-05-19|DOMINO'S PIZZA GROUP PLC|Consumer Discretionary|Travel and Leisure|United Kingdom|Europe|MAIN MARKET|No|1312.73
2010-12-13|DORIC NIMROD AIR ONE LIMITED|Financials|Financial Services|Guernsey|Europe|MAIN MARKET|No|13.80
2013-07-02|DORIC NIMROD AIR THREE LIMITED|Industrials|Industrial Goods and Services|Guernsey|Europe|MAIN MARKET|No|77.00
2011-07-14|DORIC NIMROD AIR TWO LIMITED|Industrials|Industrial Goods and Services|Guernsey|Europe|MAIN MARKET|No|112.29
2011-03-29|DOTDIGITAL GROUP PLC|Technology|Technology|United Kingdom|Europe|AIM|No|265.12
2009-03-25|DOWNING FOUR VCT PLC|Financials|Financial Services|United Kingdom|Europe|MAIN MARKET|No|51.69
1996-05-03|DOWNING ONE VCT PLC|Financials|Financial Services|United Kingdom|Europe|MAIN MARKET|No|84.95
2017-05-09|DOWNING STRATEGIC MICRO-CAP INVESTMENT TRUST PLC|Financials|Financial Services|United Kingdom|Europe|MAIN MARKET|No|23.58
2005-04-13|DOWNING THREE VCT PLC|Financials|Financial Services|United Kingdom|Europe|MAIN MARKET|No|10.22
2005-04-05|DOWNING TWO VCT PLC|Financials|Financial Services|United Kingdom|Europe|MAIN MARKET|No|17.29
2013-10-04|DP AIRCRAFT I LIMITED|Industrials|Industrial Goods and Services|Guernsey|Europe|MAIN MARKET|No|42.21
2017-06-28|DP EURASIA N.V.|Consumer Discretionary|Travel and Leisure|Netherlands|Europe|MAIN MARKET|Yes|53.35
2010-07-28|DP POLAND PLC|Consumer Discretionary|Travel and Leisure|United Kingdom|Europe|AIM|No|16.48
2007-06-01|DRAGON-UKRAINIAN PROPERTIES & DEVELOPMENT PLC|Real Estate|Real Estate|Isle of Man|Europe|AIM|No|12.30
2016-06-15|DRAPER ESPRIT PLC|Financials|Financial Services|United Kingdom|Europe|AIM|No|418.59
1998-05-18|DRAPER ESPRIT VCT PLC|Financials|Financial Services|United Kingdom|Europe|MAIN MARKET|No|33.97
2005-12-15|DRAX GROUP PLC|Utilities|Utilities|United Kingdom|Europe|MAIN MARKET|No|609.63
2005-10-13|DRIVER GROUP PLC|Industrials|Industrial Goods and Services|United Kingdom|Europe|AIM|No|21.65
2015-05-29|DRUM INCOME PLUS REIT PLC|Real Estate|Real Estate|United Kingdom|Europe|MAIN MARKET|No|26.55
2012-07-09|DUKE ROYALTY LIMITED|Financials|Financial Services|Guernsey|Europe|AIM|No|60.87
2017-03-29|DUKEMOUNT CAPITAL PLC|Real Estate|Real Estate|United Kingdom|Europe|MAIN MARKET|No|1.65
1987-04-01|DUNEDIN ENTERPRISE INVESTMENT TRUST PLC|Financials|Financial Services|United Kingdom|Europe|MAIN MARKET|No|52.02
1949-11-21|DUNEDIN INCOME GROWTH INVESTMENT TRUST PLC|Financials|Financial Services|United Kingdom|Europe|MAIN MARKET|No|349.72
2006-10-24|DUNELM GROUP PLC|Consumer Discretionary|Retail|United Kingdom|Europe|MAIN MARKET|No|1428.80
2019-03-11|DWF GROUP PLC|Industrials|Industrial Goods and Services|United Kingdom|Europe|MAIN MARKET|No|295.34
2014-02-27|DX (GROUP) PLC|Industrials|Industrial Goods and Services|United Kingdom|Europe|AIM|No|41.59
2014-04-16|EAGLE EYE SOLUTIONS GROUP PLC|Technology|Technology|United Kingdom|Europe|AIM|No|35.13
2014-06-30|EASYHOTEL PLC|Consumer Discretionary|Travel and Leisure|United Kingdom|Europe|AIM|No|90.58
2000-11-22|EASYJET PLC|Consumer Discretionary|Travel and Leisure|United Kingdom|Europe|MAIN MARKET|No|2268.06
2000-05-05|EBIQUITY PLC|Consumer Discretionary|Media|United Kingdom|Europe|AIM|No|24.68
1995-09-21|ECCLESIASTICAL INSURANCE OFFICE PLC|Financials|Insurance|United Kingdom|Europe|MAIN MARKET|No|138.92
2005-12-12|ECHO ENERGY PLC|Energy|Energy|United Kingdom|Europe|AIM|No|3.20
2003-06-27|ECKOH PLC|Technology|Technology|United Kingdom|Europe|AIM|No|128.20
2017-02-08|ECO (ATLANTIC) OIL & GAS LTD|Energy|Energy|Canada|North America|AIM|Yes|28.63
1995-09-26|ECO ANIMAL HEALTH GROUP PLC|Health Care|Health Care|United Kingdom|Europe|AIM|No|148.60
2016-09-26|ECOFIN GLOBAL UTILITIES AND INFRASTRUCTURE TRUST PLC|Financials|Financial Services|United Kingdom|Europe|MAIN MARKET|No|130.00
2006-01-20|ECR MINERALS PLC|Basic Materials|Basic Resources|United Kingdom|Europe|AIM|No|2.25
2016-12-14|ECSC GROUP PLC|Technology|Technology|United Kingdom|Europe|AIM|No|6.69
2017-04-25|EDDIE STOBART LOGISTICS PLC|Industrials|Industrial Goods and Services|United Kingdom|Europe|AIM|No|42.39
2012-05-11|EDEN RESEARCH PLC|Basic Materials|Chemicals|United Kingdom|Europe|AIM|No|27.57
2005-02-21|EDENVILLE ENERGY PLC|Basic Materials|Basic Resources|United Kingdom|Europe|AIM|No|2.21
2006-04-11|EDGE PERFORMANCE VCT PLC|Financials|Financial Services|United Kingdom|Europe|MAIN MARKET|No|14.33
1952-02-08|EDINBURGH INVESTMENT TRUST PLC|Financials|Financial Services|United Kingdom|Europe|MAIN MARKET|No|758.12
1998-07-10|EDINBURGH WORLDWIDE INVESTMENT TRUST PLC|Financials|Financial Services|United Kingdom|Europe|MAIN MARKET|No|555.82
2014-10-28|EDISTON PROPERTY INVESTMENT COMPANY PLC|Real Estate|Real Estate|United Kingdom|Europe|MAIN MARKET|No|96.58
2015-04-02|EDITA FOOD INDUSTRIES S.A.E.|Consumer Staples|Food, Beverage and Tobacco|Egypt|Middle East|MAIN MARKET|Yes|0.00
2005-04-04|EENERGY GROUP PLC|Industrials|Industrial Goods and Services|United Kingdom|Europe|AIM|No|4.65
1998-08-04|EFG-HERMES HOLDING S.A.E.|Financials|Financial Services|Egypt|Middle East|MAIN MARKET|Yes|0.00
2008-01-17|EGDON RESOURCES PLC|Energy|Energy|United Kingdom|Europe|AIM|No|6.98
2007-03-23|EIH PLC|Financials|Financial Services|Isle of Man|Europe|AIM|No|5.20
2017-04-07|EJF INVESTMENTS LTD|Financials|Financial Services|Jersey|Europe|MAIN MARKET|No|117.84
2010-07-07|EKF DIAGNOSTICS HOLDINGS PLC|Health Care|Health Care|United Kingdom|Europe|AIM|No|123.06
2006-03-22|ELECOSOFT PLC|Technology|Technology|United Kingdom|Europe|AIM|No|42.35
1976-02-18|ELECTRA PRIVATE EQUITY PLC|Financials|Financial Services|United Kingdom|Europe|MAIN MARKET|No|71.59
1967-06-01|ELECTROCOMPONENTS PLC|Industrials|Industrial Goods and Services|United Kingdom|Europe|MAIN MARKET|No|2303.84
1964-04-01|ELEMENTIS PLC|Basic Materials|Chemicals|United Kingdom|Europe|MAIN MARKET|No|284.46
2010-03-29|EMIS GROUP PLC|Technology|Technology|United Kingdom|Europe|AIM|No|658.44
2017-02-15|EMMERSON PLC|Basic Materials|Basic Resources|Isle of Man|Europe|MAIN MARKET|No|18.18
2010-12-17|EMPIRE METALS LIMITED|Basic Materials|Basic Resources|British Virgin Islands|North America|AIM|Yes|1.99
2014-06-30|EMPIRIC STUDENT PROPERTY PLC|Real Estate|Real Estate|United Kingdom|Europe|MAIN MARKET|No|398.69
2004-11-03|EMPRESARIA GROUP PLC|Industrials|Industrial Goods and Services|United Kingdom|Europe|AIM|No|16.42
2005-07-27|EMPYREAN ENERGY PLC|Energy|Energy|United Kingdom|Europe|AIM|No|18.46
2017-11-08|EN+ GROUP INTERNATIONAL PUBLIC JOINT-STOCK COMPANY|Basic Materials|Basic Resources|United Kingdom|Europe|MAIN MARKET|No|0.00
2007-12-17|ENDEAVOUR INTERNATIONAL CORPORATION|Energy|Energy|United States|North America|MAIN MARKET|Yes|0.98
2018-03-16|ENERGEAN OIL & GAS PLC|Energy|Energy|United Kingdom|Europe|MAIN MARKET|No|1021.81
1997-06-02|ENERGISER INVESTMENTS PLC|Financials|Financial Services|United Kingdom|Europe|AIM|No|1.12
2010-04-06|ENQUEST PLC|Energy|Energy|United Kingdom|Europe|MAIN MARKET|No|133.80
2012-05-18|ENTEQ UPSTREAM PLC|Energy|Energy|United Kingdom|Europe|AIM|No|10.48
2017-09-21|ENTERTAINMENT AI PLC|Consumer Discretionary|Media|United Kingdom|Europe|AIM|No|13.24
2003-12-15|EP GLOBAL OPPORTUNITIES TRUST PLC|Financials|Financial Services|United Kingdom|Europe|MAIN MARKET|No|96.41
2018-09-21|EPE SPECIAL OPPORTUNITIES LIMITED|Financials|Financial Services|Bermuda|North America|AIM|Yes|42.73
2014-07-24|EPWIN GROUP PLC|Industrials|Construction and Materials|United Kingdom|Europe|AIM|No|84.33
2008-10-20|EQTEC PLC|Energy|Energy|Ireland|Europe|AIM|Yes|7.09
2014-08-05|EQUALS GROUP PLC|Industrials|Industrial Goods and Services|United Kingdom|Europe|AIM|No|40.19
2010-02-26|EQUATORIAL PALM OIL PLC|Consumer Staples|Food, Beverage and Tobacco|United Kingdom|Europe|AIM|No|1.37
2015-10-27|EQUINITI GROUP PLC|Industrials|Industrial Goods and Services|United Kingdom|Europe|MAIN MARKET|No|645.23
2014-07-15|ERGOMED PLC|Health Care|Health Care|United Kingdom|Europe|AIM|No|196.48
2017-12-21|ERRIS RESOURCES PLC|Basic Materials|Basic Resources|United Kingdom|Europe|AIM|No|0.92
2016-07-08|ESCAPE HUNT PLC|Consumer Discretionary|Travel and Leisure|United Kingdom|Europe|AIM|No|1.01
2019-05-29|ESSENSYS PLC|Technology|Technology|United Kingdom|Europe|AIM|No|75.77
2005-06-06|ESSENTRA PLC|Industrials|Industrial Goods and Services|United Kingdom|Europe|MAIN MARKET|No|691.73
2011-04-20|ETALON GROUP PLC|Real Estate|Real Estate|Cyprus|Europe|MAIN MARKET|Yes|0.00
2007-11-28|E-THERAPEUTICS PLC|Health Care|Health Care|United Kingdom|Europe|AIM|No|26.36
2017-06-29|ETHERNITY NETWORKS LTD|Telecommunications|Telecommunications|Israel|Middle East|AIM|Yes|10.14
1996-10-02|EURASIA MINING PLC|Basic Materials|Basic Resources|United Kingdom|Europe|AIM|No|196.18
2015-03-09|EUROCELL PLC|Industrials|Industrial Goods and Services|United Kingdom|Europe|MAIN MARKET|No|193.65
1990-01-22|EUROMONEY INSTITUTIONAL INVESTOR PLC|Consumer Discretionary|Media|United Kingdom|Europe|MAIN MARKET|No|885.24
2010-12-15|EUROPA METALS LTD|Basic Materials|Basic Resources|Australia|Pacific|AIM|Yes|2.51
2004-11-11|EUROPA OIL & GAS (HOLDINGS) PLC|Energy|Energy|United Kingdom|Europe|AIM|No|3.34
2019-03-18|EUROPEAN ASSETS TRUST PLC|Financials|Financial Services|United Kingdom|Europe|MAIN MARKET|No|267.82
2015-12-10|EUROPEAN METALS HOLDINGS LIMITED|Basic Materials|Basic Resources|British Virgin Islands|North America|AIM|Yes|15.62
2000-11-20|EUROPEAN OPPORTUNITIES TRUST PLC|Financials|Financial Services|United Kingdom|Europe|MAIN MARKET|No|727.97
2017-05-18|EVE SLEEP PLC|Consumer Discretionary|Consumer Products and Services|United Kingdom|Europe|AIM|No|3.36
2019-12-17|EVERARC HOLDINGS LIMITED|Financials|Financial Services|British Virgin Islands|North America|MAIN MARKET|Yes|493.93
2013-11-07|EVERYMAN MEDIA GROUP PLC|Consumer Discretionary|Media|United Kingdom|Europe|AIM|No|79.12
2015-10-21|EVGEN PHARMA PLC|Health Care|Health Care|United Kingdom|Europe|AIM|No|4.81
2016-05-16|EVR HOLDINGS PLC|Telecommunications|Telecommunications|United Kingdom|Europe|AIM|No|60.19
2005-06-08|EVRAZ PLC|Basic Materials|Basic Resources|United Kingdom|Europe|MAIN MARKET|No|3362.62
2009-12-17|EXILLON ENERGY PLC|Energy|Energy|Isle of Man|Europe|MAIN MARKET|No|66.54
2006-10-11|EXPERIAN PLC|Industrials|Industrial Goods and Services|Jersey|Europe|MAIN MARKET|No|20445.60
1999-06-30|EZZ STEEL COMPANY - S.A.E.|Basic Materials|Basic Resources|Egypt|Middle East|MAIN MARKET|Yes|0.00
1952-03-21|F&C INVESTMENT TRUST PLC|Financials|Financial Services|United Kingdom|Europe|MAIN MARKET|No|3091.61
2014-06-12|FAIR OAKS INCOME LIMITED|Financials|Financial Services|Guernsey|Europe|MAIN MARKET|No|129.61
2013-06-20|FALANX GROUP LIMITED|Industrials|Industrial Goods and Services|British Virgin Islands|North America|AIM|Yes|3.30
2013-03-28|FALCON OIL & GAS LTD.|Energy|Energy|Canada|North America|AIM|Yes|54.98
2017-07-12|FANDANGO HOLDINGS PLC|Financials|Financial Services|United Kingdom|Europe|MAIN MARKET|No|0.60
2004-10-11|FAR EASTERN NEW CENTURY CORPORATION|Basic Materials|Basic Resources|Taiwan|Asia|ADMISSION TO TRADING ONLY|Yes|0.00
2008-11-13|FAR EASTONE TELECOMMUNICATIONS CO LTD|Telecommunications|Telecommunications|Taiwan|Asia|ADMISSION TO TRADING ONLY|Yes|0.00
2015-11-17|FARON PHARMACEUTICALS OY|Health Care|Health Care|Finland|Europe|AIM|Yes|203.47
2006-03-15|FASTFORWARD INNOVATIONS LIMITED|Financials|Financial Services|Guernsey|Europe|AIM|No|11.71
2006-09-06|FASTJET PLC|Consumer Discretionary|Travel and Leisure|United Kingdom|Europe|AIM|No|4.94
1995-05-04|FBD HOLDINGS PLC|Financials|Insurance|Ireland|Europe|MAIN MARKET|Yes|217.49
2014-06-20|FDM GROUP (HOLDINGS) PLC|Technology|Technology|United Kingdom|Europe|MAIN MARKET|No|806.93
2006-01-31|FEDERAL BANK LIMITED (THE)|Financials|Banks|India|Asia|PROFESSIONAL SECURITIES MARKET|Yes|0.00
2011-03-28|FEDERAL GRID COMPANY OF UNIFIED ENERGY SYSTEM, PUBLIC JOINT-STOCK COMPANY|Utilities|Utilities|Russian Federation|Europe|MAIN MARKET|Yes|0.00
2003-12-31|FEEDBACK PLC|Industrials|Industrial Goods and Services|United Kingdom|Europe|AIM|No|2.97
2010-11-23|FERGUSON PLC|Industrials|Industrial Goods and Services|Jersey|Europe|MAIN MARKET|No|11361.67
2007-06-20|FERREXPO PLC|Basic Materials|Basic Resources|United Kingdom|Europe|MAIN MARKET|No|694.87
2019-03-28|FERRO-ALLOY RESOURCES LIMITED|Basic Materials|Basic Resources|Guernsey|Europe|MAIN MARKET|No|35.21
2014-11-07|FEVERTREE DRINKS PLC|Consumer Staples|Food, Beverage and Tobacco|United Kingdom|Europe|AIM|No|1407.46
1996-06-13|FIDELITY ASIAN VALUES PLC|Financials|Financial Services|United Kingdom|Europe|MAIN MARKET|No|222.84
2010-04-19|FIDELITY CHINA SPECIAL SITUATIONS PLC|Financials|Financial Services|United Kingdom|Europe|MAIN MARKET|No|1163.83
1991-11-06|FIDELITY EUROPEAN VALUES PLC|Financials|Financial Services|United Kingdom|Europe|MAIN MARKET|No|890.82
1994-03-15|FIDELITY JAPAN TRUST PLC|Financials|Financial Services|United Kingdom|Europe|MAIN MARKET|No|175.73
1994-11-17|FIDELITY SPECIAL VALUES PLC|Financials|Financial Services|United Kingdom|Europe|MAIN MARKET|No|491.86
2003-01-13|FIH GROUP PLC|Industrials|Industrial Goods and Services|United Kingdom|Europe|AIM|No|24.26
2016-11-04|FILTA GROUP HOLDINGS PLC|Industrials|Industrial Goods and Services|United Kingdom|Europe|AIM|No|17.90
1994-10-24|FILTRONIC PLC|Telecommunications|Telecommunications|United Kingdom|Europe|AIM|No|13.51
2019-05-14|FINABLR PLC|Industrials|Industrial Goods and Services|United Kingdom|Europe|MAIN MARKET|No|77.18
2018-12-05|FINNCAP GROUP PLC|Financials|Financial Services|United Kingdom|Europe|AIM|No|29.70
2007-02-23|FINSBURY FOOD GROUP PLC|Consumer Staples|Food, Beverage and Tobacco|United Kingdom|Europe|AIM|No|80.19
1953-03-25|FINSBURY GROWTH & INCOME TRUST PLC|Financials|Financial Services|United Kingdom|Europe|MAIN MARKET|No|1601.75
2014-04-30|FIREANGEL SAFETY TECHNOLOGY GROUP PLC|Industrials|Industrial Goods and Services|United Kingdom|Europe|AIM|No|8.92
2002-03-28|FIRST DERIVATIVES PLC|Technology|Technology|United Kingdom|Europe|AIM|No|623.24
2000-12-22|FIRST PROPERTY GROUP PLC|Financials|Financial Services|United Kingdom|Europe|AIM|No|35.32
1995-06-16|FIRSTGROUP PLC|Consumer Discretionary|Travel and Leisure|United Kingdom|Europe|MAIN MARKET|No|614.98
1996-12-31|FISHER (JAMES) & SONS PLC|Industrials|Industrial Goods and Services|United Kingdom|Europe|MAIN MARKET|No|633.20
1999-08-12|FISHGUARD & ROSSLARE RAILWAYS & HARBOURS COMPANY|||United Kingdom|Europe|MAIN MARKET|No|0.00
2000-03-30|FISKE PLC|Financials|Financial Services|United Kingdom|Europe|AIM|No|7.02
2008-10-14|FLETCHER KING PLC|Real Estate|Real Estate|United Kingdom|Europe|AIM|No|2.72
2014-05-21|FLOWTECH FLUIDPOWER PLC|Industrials|Industrial Goods and Services|United Kingdom|Europe|AIM|No|33.76
2000-12-07|FLUTTER ENTERTAINMENT PLC|Consumer Discretionary|Travel and Leisure|Ireland|Europe|MAIN MARKET|Yes|5710.62
2014-12-11|FOCUSRITE PLC|Consumer Discretionary|Consumer Products and Services|United Kingdom|Europe|AIM|No|232.45
2015-04-29|FONDUL PROPRIETATEA S.A.|Financials|Financial Services|Romania|Europe|MAIN MARKET|Yes|0.00
1998-03-16|FORESIGHT 4 VCT PLC|Financials|Financial Services|United Kingdom|Europe|MAIN MARKET|No|115.92
2010-11-02|FORESIGHT SOLAR & TECHNOLOGY VCT PLC|Financials|Financial Services|United Kingdom|Europe|MAIN MARKET|No|28.55
2013-10-29|FORESIGHT SOLAR FUND LIMITED|Financials|Financial Services|Jersey|Europe|MAIN MARKET|No|669.38
1997-11-17|FORESIGHT VCT PLC|Financials|Financial Services|United Kingdom|Europe|MAIN MARKET|No|115.39
2016-04-21|FORTERRA PLC|Industrials|Construction and Materials|United Kingdom|Europe|MAIN MARKET|No|353.98
2012-08-31|FOX MARBLE HOLDINGS PLC|Industrials|Construction and Materials|United Kingdom|Europe|AIM|No|3.94
